"dname"	"task"	"irep"	"kfname"	"acc"	"label"
"227"	"eubm"	"age"	27	"dot_wken_dcg_mult"	0.66	"mult weight (log)"
"228"	"eubm"	"age"	28	"dot_wken_dcg_mult"	0.58	"mult weight (log)"
"229"	"eubm"	"age"	29	"dot_wken_dcg_mult"	0.55	"mult weight (log)"
"230"	"eubm"	"age"	30	"dot_wken_dcg_mult"	0.62	"mult weight (log)"
"231"	"eubm"	"age"	31	"dot_wken_dcg_mult"	0.64	"mult weight (log)"
"232"	"eubm"	"age"	32	"dot_wken_dcg_mult"	0.66	"mult weight (log)"
"233"	"eubm"	"age"	33	"dot_wken_dcg_mult"	0.6	"mult weight (log)"
"234"	"eubm"	"age"	34	"dot_wken_dcg_mult"	0.68	"mult weight (log)"
"235"	"eubm"	"age"	35	"dot_wken_dcg_mult"	0.52	"mult weight (log)"
"236"	"eubm"	"age"	36	"dot_wken_dcg_mult"	0.72	"mult weight (log)"
"237"	"eubm"	"age"	37	"dot_wken_dcg_mult"	0.73	"mult weight (log)"
"238"	"eubm"	"age"	38	"dot_wken_dcg_mult"	0.65	"mult weight (log)"
"239"	"eubm"	"age"	39	"dot_wken_dcg_mult"	0.65	"mult weight (log)"
"240"	"eubm"	"age"	40	"dot_wken_dcg_mult"	0.63	"mult weight (log)"
"241"	"eubm"	"age"	41	"dot_wken_dcg_mult"	0.5	"mult weight (log)"
"242"	"eubm"	"age"	42	"dot_wken_dcg_mult"	0.61	"mult weight (log)"
"243"	"eubm"	"age"	43	"dot_wken_dcg_mult"	0.59	"mult weight (log)"
"244"	"eubm"	"age"	44	"dot_wken_dcg_mult"	0.62	"mult weight (log)"
"245"	"eubm"	"age"	45	"dot_wken_dcg_mult"	0.62	"mult weight (log)"
"246"	"eubm"	"age"	46	"dot_wken_dcg_mult"	0.56	"mult weight (log)"
"247"	"eubm"	"age"	47	"dot_wken_dcg_mult"	0.6	"mult weight (log)"
"248"	"eubm"	"age"	48	"dot_wken_dcg_mult"	0.6	"mult weight (log)"
"249"	"eubm"	"age"	49	"dot_wken_dcg_mult"	0.67	"mult weight (log)"
"250"	"eubm"	"age"	50	"dot_wken_dcg_mult"	0.69	"mult weight (log)"
"251"	"eubm"	"age"	1	"dot_wken_hb_add"	0.61	"add weight (hb)"
"252"	"eubm"	"age"	2	"dot_wken_hb_add"	0.54	"add weight (hb)"
"253"	"eubm"	"age"	3	"dot_wken_hb_add"	0.61	"add weight (hb)"
"254"	"eubm"	"age"	4	"dot_wken_hb_add"	0.57	"add weight (hb)"
"255"	"eubm"	"age"	5	"dot_wken_hb_add"	0.67	"add weight (hb)"
"256"	"eubm"	"age"	6	"dot_wken_hb_add"	0.57	"add weight (hb)"
"257"	"eubm"	"age"	7	"dot_wken_hb_add"	0.61	"add weight (hb)"
"258"	"eubm"	"age"	8	"dot_wken_hb_add"	0.69	"add weight (hb)"
"259"	"eubm"	"age"	9	"dot_wken_hb_add"	0.59	"add weight (hb)"
"260"	"eubm"	"age"	10	"dot_wken_hb_add"	0.64	"add weight (hb)"
"261"	"eubm"	"age"	11	"dot_wken_hb_add"	0.66	"add weight (hb)"
"262"	"eubm"	"age"	12	"dot_wken_hb_add"	0.64	"add weight (hb)"
"263"	"eubm"	"age"	13	"dot_wken_hb_add"	0.61	"add weight (hb)"
"264"	"eubm"	"age"	14	"dot_wken_hb_add"	0.64	"add weight (hb)"
"265"	"eubm"	"age"	15	"dot_wken_hb_add"	0.63	"add weight (hb)"
"266"	"eubm"	"age"	16	"dot_wken_hb_add"	0.61	"add weight (hb)"
"267"	"eubm"	"age"	17	"dot_wken_hb_add"	0.57	"add weight (hb)"
"268"	"eubm"	"age"	18	"dot_wken_hb_add"	0.62	"add weight (hb)"
"269"	"eubm"	"age"	19	"dot_wken_hb_add"	0.62	"add weight (hb)"
"270"	"eubm"	"age"	20	"dot_wken_hb_add"	0.65	"add weight (hb)"
"271"	"eubm"	"age"	21	"dot_wken_hb_add"	0.63	"add weight (hb)"
"272"	"eubm"	"age"	22	"dot_wken_hb_add"	0.64	"add weight (hb)"
"273"	"eubm"	"age"	23	"dot_wken_hb_add"	0.59	"add weight (hb)"
"274"	"eubm"	"age"	24	"dot_wken_hb_add"	0.65	"add weight (hb)"
"275"	"eubm"	"age"	25	"dot_wken_hb_add"	0.67	"add weight (hb)"
"276"	"eubm"	"age"	26	"dot_wken_hb_add"	0.67	"add weight (hb)"
"277"	"eubm"	"age"	27	"dot_wken_hb_add"	0.64	"add weight (hb)"
"278"	"eubm"	"age"	28	"dot_wken_hb_add"	0.59	"add weight (hb)"
"279"	"eubm"	"age"	29	"dot_wken_hb_add"	0.6	"add weight (hb)"
